Telemetry(timestamp='22.05.2023 07:34:01.225088', value='0.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 07:34:01.226003', value='5.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 07:34:01.720454', value='1365080.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='22.05.2023 07:34:01.721143', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 07:34:01.721149', value='0.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 07:34:01.721274', value='25.742574', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 07:34:01.723637', value='5.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 07:34:01.723949', value='0.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 07:34:02.221111', value='25.125628', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 07:34:02.221121', value='0.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 07:34:02.221229', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 07:34:02.222994', value='0.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 07:34:02.224401', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 07:34:02.720551', value='1365080.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='22.05.2023 07:34:02.721029', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 07:34:02.721178', value='0.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 07:34:02.721426', value='25.125628', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 07:34:02.724810', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 07:34:02.726123', value='0.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 07:34:03.220776', value='25.870647', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 07:34:03.221590', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 07:34:03.221645', value='0.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 07:34:03.223933', value='5.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 07:34:03.224846', value='0.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 07:34:03.721098', value='25.125628', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 07:34:03.721368', value='1365080.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='22.05.2023 07:34:03.721869', value='0.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 07:34:03.721893', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 07:34:03.725368', value='0.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 07:34:03.725932', value='5.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 07:34:04.220838', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 07:34:04.220951', value='0.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 07:34:04.221361', value='26.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 07:34:04.224746', value='5.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 07:34:04.225426', value='0.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 07:34:04.720838', value='25.628141', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 07:34:04.720912', value='1365080.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='22.05.2023 07:34:04.721711', value='0.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 07:34:04.721806', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 07:34:04.725437', value='0.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 07:34:04.726453', value='5.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 07:34:05.220855', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 07:34:05.221202', value='25.125628', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 07:34:05.221254', value='0.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 07:34:05.223718', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 07:34:05.225530', value='0.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 07:34:05.720825', value='1365080.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='22.05.2023 07:34:05.721963', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 07:34:05.722041', value='0.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 07:34:05.722346', value='25.500000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 07:34:05.725250', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 07:34:05.726251', value='0.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 07:34:06.221045', value='25.500000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 07:34:06.221106', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
